source,package,probable_app_name,purpose,transformation,target,status,target_action,alias_action
hyperos3-icons/apps/128/com.netease.cloudmusic.png,com.netease.cloudmusic,Cloudmusic,application icon,com.netease.cloudmusic -> netease-cloud-music,hyperos icons/apps@2x/scalable/netease-cloud-music.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.oppo.store.png,com.oppo.store,Store,application icon,com.oppo.store -> oppo-store,hyperos icons/apps/scalable/oppo-store.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.oppo.store.png,com.oppo.store,Store,application icon,com.oppo.store -> oppo-store,hyperos icons/apps@2x/scalable/oppo-store.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.qihoo.namiso.png,com.qihoo.namiso,Namiso,application icon,com.qihoo.namiso -> qihoo-namiso,hyperos icons/apps/scalable/qihoo-namiso.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.qihoo.namiso.png,com.qihoo.namiso,Namiso,application icon,com.qihoo.namiso -> qihoo-namiso,hyperos icons/apps@2x/scalable/qihoo-namiso.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.quark.browser.png,com.quark.browser,Browser,application icon,com.quark.browser -> quark-browser,hyperos icons/apps/scalable/quark-browser.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.quark.browser.png,com.quark.browser,Browser,application icon,com.quark.browser -> quark-browser,hyperos icons/apps@2x/scalable/quark-browser.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.sankuai.meituan.takeoutnew.png,com.sankuai.meituan.takeoutnew,Takeoutnew,application icon,com.sankuai.meituan.takeoutnew -> sankuai-meituan-takeoutnew,hyperos icons/apps/scalable/sankuai-meituan-takeoutnew.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.sankuai.meituan.takeoutnew.png,com.sankuai.meituan.takeoutnew,Takeoutnew,application icon,com.sankuai.meituan.takeoutnew -> sankuai-meituan-takeoutnew,hyperos icons/apps@2x/scalable/sankuai-meituan-takeoutnew.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.sevtinge.hyperceiler.png,com.sevtinge.hyperceiler,Hyperceiler,application icon,com.sevtinge.hyperceiler -> sevtinge-hyperceiler,hyperos icons/apps/scalable/sevtinge-hyperceiler.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.sevtinge.hyperceiler.png,com.sevtinge.hyperceiler,Hyperceiler,application icon,com.sevtinge.hyperceiler -> sevtinge-hyperceiler,hyperos icons/apps@2x/scalable/sevtinge-hyperceiler.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.shazam.android.png,com.shazam.android,Android,application icon,com.shazam.android -> shazam-android,hyperos icons/apps/scalable/shazam-android.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.shazam.android.png,com.shazam.android,Android,application icon,com.shazam.android -> shazam-android,hyperos icons/apps@2x/scalable/shazam-android.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.shizhuang.duapp.png,com.shizhuang.duapp,Duapp,application icon,com.shizhuang.duapp -> shizhuang-duapp,hyperos icons/apps/scalable/shizhuang-duapp.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.shizhuang.duapp.png,com.shizhuang.duapp,Duapp,application icon,com.shizhuang.duapp -> shizhuang-duapp,hyperos icons/apps@2x/scalable/shizhuang-duapp.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.smile.gifmaker.png,com.smile.gifmaker,Gifmaker,application icon,com.smile.gifmaker -> smile-gifmaker,hyperos icons/apps/scalable/smile-gifmaker.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.smile.gifmaker.png,com.smile.gifmaker,Gifmaker,application icon,com.smile.gifmaker -> smile-gifmaker,hyperos icons/apps@2x/scalable/smile-gifmaker.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.soundcloud.android.png,com.soundcloud.android,Android,application icon,com.soundcloud.android -> soundcloud-android,hyperos icons/apps/scalable/soundcloud-android.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.soundcloud.android.png,com.soundcloud.android,Android,application icon,com.soundcloud.android -> soundcloud-android,hyperos icons/apps@2x/scalable/soundcloud-android.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.spotify.music.png,com.spotify.music,Music,application icon,com.spotify.music -> spotify-client,hyperos icons/apps/scalable/spotify-client.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.spotify.music.png,com.spotify.music,Music,application icon,com.spotify.music -> spotify-client,hyperos icons/apps@2x/scalable/spotify-client.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.article.news.png,com.ss.android.article.news,News,application icon,com.ss.android.article.news -> article-news,hyperos icons/apps/scalable/article-news.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.article.news.png,com.ss.android.article.news,News,application icon,com.ss.android.article.news -> article-news,hyperos icons/apps@2x/scalable/article-news.svg,fallback,exists-skip,alias-exists-skip
